firstname_male,firstname_female,surname_male,surname_female,patronymic
Абакум,Августа,Авдеев,Авдеева,Александров  
Абрам,Августина,Агапов,Агапова,Алексеев  
Абросим,Авдотья,Агафонов,Агафонова,Анатольев  
Аввакум,Аврелия,Агеев,Агеева,Андреев  
Август,Аврея,Акимов,Акимова,Антонов  
Авдей,Аврора,Аксёнов,Аксёнова,Аркадьев  
Авдий,Агапа,Александров,Александрова,Артемов  
Авель,Агапия,Алексеев,Алексеева,Бедросов  
Авенир,Агарь,Алёхин,Алёхина,Богданов  
Аверий,Агита,Алешин,Алешина,Борисов  
Аверкий,Агафа,Алёшин,Алёшина,Валентинов  
Аверьян,Агафоклия,Ананьев,Ананьева,Валерьев  
Авксентий,Агафоника,Андреев,Андреева,Васильев  
Аврам,Агафья,Андрианов,Андрианова,Викторов  
Аврелиан,Агафия,Аникин,Аникина,Витальев  
Автоном,Аглаида,Анисимов,Анисимова,Владимиров  
Агап,Аглая,Анохин,Анохина,Владиславов  
Агапий,Агна,Антипов,Антипова,Вольфов  
Агапит,Агнесса,Антонов,Антонова,Вячеславов  
Агафангел,Агния,Артамонов,Артамонова,Геннадиев  
Агафон,Аграфена,Артёмов,Артёмова,Георгиев  
Аггей,Агриппина,Архипов,Архипова,Григорьев  
Адам,Ада,Астафьев,Астафьева,Данилов  
Адриан,Аделаида,Астахов,Астахова,Денисов  
Азар,Аделина,Афанасьев,Афанасьева,Дмитриев  
Азарий,Аделла,Бабушкин,Бабушкина,Евгеньев  
Акакий,Адель,Баженов,Баженова,Егоров  
Акила,Адельфина,Балашов,Балашова,Ефимов  
Аким,Адина,Баранов,Баранова,Иванов  
Акиндин,Адолия,Барсуков,Барсукова,Иваныч  
Акинф,Адриана,Басов,Басова,Игнатьев  
Акинфий,Аза,Безруков,Безрукова,Игорев  
Аксён,Азалия,Беликов,Беликова,Иль  
Аксентий,Азелла,Белкин,Белкина,Иосифов  
Александр,Аида,Белов,Белова,Исааков  
Алексей,Акилина,Белоусов,Белоусова,Кириллов  
Алексий,Аксинья,Беляев,Беляева,Константинов  
Альберт,Аксиния,Беляков,Белякова,Леонидов  
Альфред,Акулина,Березин,Березина,Львов  
Амвросий,Алевтина,Берия,Берия,Максимов  
Амос,Александра,Беспалов,Беспалова,Матвеев  
Амфилохий,Александрина,Бессонов,Бессонова,Михайлов  
Ананий,Алексина,Бирюков,Бирюкова,Николаев  
Анастасий,Алёна,Блинов,Блинова,Олегов  
Анатолий,Алина,Блохин,Блохина,Павлов  
Андрей,Алиса,Бобров,Боброва,Палыч  
Андриан,Алла,Богданов,Богданова,Петров  
Андрон,Алфея,Богомолов,Богомолова,Платонов  
Андроний,Альберта,Болдырев,Болдырева,Робертов  
Андроник,Альбертина,Большаков,Большакова,Романов  
Анект,Альбина,Бондарев,Бондарева,Саныч  
Анемподист,Альвина,Борисов,Борисова,Северинов  
Аникей,Альфия,Бородин,Бородина,Семенов  
Аникий,Амалия,Бочаров,Бочарова,Сергеев  
Аникита,Амата,Булатов,Булатова,Станиславов  
Анисий,Амелфа,Булгаков,Булгакова,Степанов  
Анисим,Анастасия,Буров,Бурова,Тарасов  
Антиох,Анатолия,Быков,Быкова,Тимофеев  
Антип,Ангела,Бычков,Бычкова,Федоров  
Антипа,Ангелика,Вавилов,Вавилова,Феликсов  
Антипий,Ангелина,Васильев,Васильева,Филиппов  
Антон,Анджела,Вдовин,Вдовина,Эдуардов  
Антонин,Андрея,Верещагин,Верещагина,Юрьев  
Антроп,Андрона,Вешняков,Вешнякова,Яковлев  
Антропий,Андроника,Виноградов,Виноградова,Ярославов
Ануфрий,Анжелика,Винокуров,Винокурова
Гаврила,Витольда,Ермолаев,Ерёмина
Галактион,Влада,Ермолов,Ермакова
Гедеон,Владилена,Еромлаев,Ермилова
Гедимин,Владимира,Ерофеев,Ермолаева
Геласий,Владислава,Ерохин,Ермолова
Гелий,Владлена,Ершов,Еромлаева
Геннадий,Воислава,Ефимов,Ерофеева
Генрих,Воля,Ефремов,Ершова
Георгий,Всеслава,Жаров,Ефимова
Герасим,Гала,Жданов,Ефремова
Гервасий,Галата,Жилин,Жарова
Герман,Галатея,Жириновский,Жданова
Гермоген,Гали,Жуков,Жилина
Геронтий,Галина,Журавлёв,Жириновская
Гиацинт,Галла,Завьялов,Жукова
Глеб,Галя,Заец,Журавлёва
Гораций,Гая,Зайцев,Завьялова
Горгоний,Геласия,Захаров,Заец
Гордей,Гемелла,Зверев,Зайцева
Гостомысл,Гемина,Звягинцев,Захарова
Гремислав,Гения,Зеленин,Зверева
Григорий,Геннадия,Зимин,Звягинцева
Гурий,Геновефа,Зиновьев,Зеленина
Гурьян,Генриетта,Злобин,Зимина
Давид,Георгина,Золотарев,Зиновьева
Давыд,Гера,Золотарёв,Злобина
Далмат,Германа,Золотов,Золотарева
Даниил,Гертруда,Зорин,Золотарёва
Данил,Гея,Зотов,Золотова
Данила,Глафира,Зубков,Зорина
Дементий,Гликерия,Зубов,Зотова
Демид,Глорибза,Зуев,Зубкова
Демьян,Голиндуха,Зыков,Зубова
Денис,Гонеста,Зюганов,Зуева
Денисий,Гонората,Иванов,Зыкова
Димитрий,Горгония,Ивашов,Зюганова
Диомид,Горислава,Игнатов,Иванова
Дионисий,Гортензия,Игнатьев,Ивашова
Дмитрий,Градислава,Измайлов,Игнатова
Добромысл,Грета,Ильин,Игнатьева
Добрыня,Далила,Ильинский,Измайлова
Довмонт,Даная,Ильюхин,Ильина
Доминик,Дарья,Исаев,Ильинская
Донат,Дария,Исаков,Ильюхина
Доримедонт,Дебора,Казаков,Исаева
Дормедонт,Деена,Казанцев,Исакова
Дормидбнт,Декабрена,Калачев,Казакова
Дорофей,Денесия,Калачёв,Казанцева
Досифей,Денница,Калашников,Калачева
Евгений,Дея,Калинин,Калачёва
Евграф,Диана
Евграфий,Дигна
Евдоким,Дина
Евлампий,Диодора
Евлогий,Дионина
Евмен,Дия
Евмений,Доброгнева
Евсей,Добромила
Евстафий,Добромира
Евстахий,Доброслава
Евстигней,Доминика
Евстрат,Домитилла
Евстратий,Домна
Евтихий,Домника
Евфимий,Домникия
Егор,Домнина
Егорий,Донара
Елизар,Доната
Елисей,Дора
Елистрат,Дорофея
Елпидифор,Доса
Емельян,Досифея
Епифан,Дросида
Епифаний,Дуклида
Еремей,Ева
Ермий,Евангелина
Ермил,Еванфия
Ермила,Евгения
Ермилий,Евдокия
Ермолай,Евдоксия
Ерофей,Евлалия
Ефим,Евлампия
Ефимий,Евмения
Ефрем,Евминия
Ефремий,Евника
Захар,Евникия
Захарий,Евномия
Зенон,Евпраксия
Зиновий,Евсевия
Зосим,Евстафия
Зосима,Евстолия
Иаким,Евтихия
Иакинф,Евтропия
Иван,Евфалия
Игнат,Евфимия
Игнатий,Евфросиния
Игорь,Екатерина
Иероним,Елена
Измаил,Елизавета
Измарагд,Еликонида
Изосим,Епистима
Изот,Епистимия
Изяслав,Ермиония
Илларион,Ефимия
Илиодор,Ефимья
Илья,Ефросиния
Иннокентий,Ефросинья
Иоанн,Жанна
Йов,Жозефина
Иона,Зара
Иосафат,Зарема
Иосиф,Зарина
Ипат,Зари
Ипатий,Зарина
Ипполит,Звезда
Ираклий,Земфира
Иринарх,Зенона
Ириней,Зина
Иродион,Зинаида
Исаак,Зиновия
Исаакин,Злата
Исай,Зоя
Исак,Ива
Исакий,Иванна
Исидор,Ида
Иустин,Идея
Казимир,Изабелла
Каллимах,Изида
Каллиник,Изольда
Каллиопий,Илария
Каллист,Илия
Каллистрат,Ильина
Каллисфен,Инга
Калуф,Инесса
Кандидий,Инна
Кантидиан,Иоанна
Капик,Иовилла
Капитон,Иола
Карион,Иоланта
Карл,Ипполита
Карп,Ираида
Кастрихий,Ирина
Касьян ,Ирма
Ким,Исидора
Киприан,Ифигения
Кир,Ия
Кириак,Каздоя
Кирик,Казимира
Кирилл,Калерия
Кирсан,Калида
Клавдий,Калиса
Клим,Каллиникия
Климент,Каллиста
Климентий,Каллисфения
Кондрат,Кама
Кондратий,Камилла
Конон,Кандида
Конрад,Капитолина
Константин,Карина
Корней,Каролина
Корнелий,Касиния
Корнил,Келестина
Корнилий,Керкира
Ксенофонт,Кетевань
Кузьма,Кикилия
Куприян,Кима
Лавр,Кира
Лаврентий,Кириакия
Ладимир,Кириана
Лазарь,Кирьяна
Ларион,Кирилла
Лев,Клавдия
Леон,Клара
Леонард,Клариса
Леонид,Клементина
Леонтий,Клеопатра
Леопольд,Конкордия
Логвин,Констанция
Лонгин,Корнелия
Лука,Кристина
Лукан,Ксанфиппа
Лукьян,Ксения
Любим,Купава
Любомир,Лавиния
Любомысл,Лавра
Люциан,Лада
Мавр,Лариса
Маврикий,Лаура
Мавродий,Леда
Май,Лейла
Макар,Лемира
Макарий,Ленина
Македон,Леокадия
Македоний,Леонида
Максим,Леонила
Максимиан,Леонина
Максимилиан,Лебния
Малх,Лея
Мануил,Лиана
Марат,Ливия
Мардарий,Лидия
Мариан,Лилиана
Марин,Лилия
Марк,Лина
Маркел,Лира
Маркиан,Лия
Марлен,Лилия
Мартимьян,Лонгина
Мартин,Лора
Мартиниан,Лота
Мартирий,Луиза
Мартин,Лукерья
Мартьян,Лукиана
Матвей,Лукия
Мелентий,Лукреция
Мелетий,Любава
Меркул,Любовь
Меркурий,Любомила
Мефодий,Любомира
Мечислав,Людмила
Милан,Люцина
Милен,Люция
Милий,Мавра
Мина,Магда
Минай,Магдалина
Мирон,Магна
Мирослав,Маина
Мисаил,Майя
Митрофан,Макрина
Митрофаний,Максима
Михаил,Малания
Михей,Малинья
Модест,Малина
Моисей,Мальвина
Мокей,Мамелфа
Мокий,Манефа
Мстислав,Маргарита
Назар,Мариам
Назарий,Мариамна
Наркис,Мариана
Натан,Марианна
Наум,Марьина
Нестер,Мариетта
Нестор,Марина
Нефёд,Марионилла
Никандр,Мария
Никанор,Марья
Никита,Марка
Никифор,Маркеллина
Никодим,Маркиана
Николай,Марксина
Никон,Марлена
Нил,Марта
Нифонт,Мартина
Олег,Мартиниана
Олимпий,Марфа
Онисим,Марья
Онисифор,Мария
Онуфрий,Марьяна
Орест,Марианна
Осип,Мастридия
Оскар,Матильда
Остап,Матрёна
Остромир,Матрона
Павел,Мая
Павлин,Медея
Паисий,Мелания
Палладий,Меланья
Памфил,Мелитика
Памфилий,Меркурия
Панкрат,Мерона
Панкратий,Милана
Пантелей,Милена
Пантелеймон,Милица
Панфил,Милия
Парамон,Милослава
Пармен,Милютина
Парфён,Мина
Парфений,Минна
Парфентий,Минодора
Патрикей,Мира
Патрикий,Миропия
Пафнутий,Мирослава
Пахом,Мирра
Пахомий,Митродора
Перфилий,Михайлина
Пётр,Млада
Пимен,Модеста
Питирим,Моика
Платон,Моника
Полиевкт,Мстислава
Полиект,Муза
Поликарп,Нада
Поликарпий,Надежда
Порфир,Нана
Порфирий,Наркисса
Потап,Настасия
Потапий,Настасья
Пров,Наталия
Прокл,Наталья
Прокоп,Нелли
Прокопий,Ненила
Прокофий,Неонила
Протас,Нида
Протасий,Ника
Прохор,Нила
Радий,Нимфа
Радим,Нимфодора
Радислав,Нина
Радован,Нинель
Ратибор ,Новелла
Ратмир,Нонна
Рафаил,Ноэми
Роберт,Ноябрина
Родион,Нунехия
Роман,Оксана
Ростислав,Октавия
Рубен,Октябрина
Рувим,Олдама
Рудольф,Оливия
Руслан,Олимпиада
Рюрик,Олимпиодора
Савва,Олимпия
Савватей,Ольга
Савватий,Ольда
Савёл,Офелия
Савелий,Павла
Саверий,Павлина
Савин ,Паисия
Савиниан,Паллада
Сакердон,Паллидия
Салтан,Пальмира
Самбила,Параскева
Самсон,Патрикия
Самсоний,Пелагея
Самуил,Перегрина
Светозар,Перпетуя
Свирид,Петра
Святополк,Петрина
Святослав,Петронилла
Себастьян,Петрония
Севастьян,Пиама
Северин,Пинна
Северьян,Плакида
Селиван,Плакилла
Селивёрст,Платонида
Селифан,Победа
Семён,Полактия
Семион,Поликсена
Серапион,Поликсения
Серафим,Полина
Сергей,Поплия
Сигизмунд,Правдина
Сидор,Прасковья
Сила,Препедигна
Силан,Прискилла
Силантий,Просдока
Силуян,Пульхерия
Сильван,Пульхерья
Сильвестр,Рада
Симон,Радана
Смарагд,Радислава
Созон,Радмила
Созонт,Радомира
Созонтий,Радосвета
Сократ,Радослава
Соломон,Радость
Сосипатр,Раиса
Софон,Рафаила
Софоний,Рахиль
Софрон,Ревекка
Софроний,Ревмира
Спартак,Регина
Спиридон,Рема
Спиридоний,Рената
Станимир,Римма
Стахий,Рипсимия
Станислав,Роберта
Степан,Рогнеда
Стоян,Роза
Стратбник,Розалина
Сысой,Розалинда
Тарас,Розалия
Твердислав,Розина
Творимир,Роксана
Терентий,Романа
Тертий,Ростислава
Тигран,Русина
Тигрий,Руслана
Тимофей,Руфина
Тимур,Руфиниана
Тит,Руфь
Тихон,Сабина
Тристан,Савватия
Трифилий,Савелла
Трифон,Савина
Трофим,Саломея
Увар,Сильвия
Ульян,Самона
Устин,Сарра
Фабиан,Сатира
Фадей,Светислава
Фалалей,Светлана
Фатьян,Светозара
Фёдор,Святослава
Федос,Севастьяна
Федосей,Северина
Федосий,Секлетея
Федот,Секлетинья
Федотий,Селена
Федул,Селестина
Феликс,Селина
Фемистокл,Серафима
Феогност,Сибилла
Феоктист,Сильва
Феофан,Сильвана
Феофил,Сильвестра
Феофилакт,Сильвия
Ферапонт,Симона
Филарет,Синклитикия
Филат,Сира
Филимон,Слава
Филипий,Снандулия
Филипп,Снежана
Филофей,Сола
Фирс,Соломонида
Флавиан,Сосипатра
Флавий,Софрония
Флегонт,Софья
Флорентий,София
Флорентин,Станислава
Флориан,Стелла
Фока,Степанида
Фома,Стефанида
Фортунат,Стефания
Фотий,Сусанна
Фридрих,Сюзанна
Фрол,Тавифа
Харитон,Таисия
Харитоний,Таисья
Харлам,Тамара
Харламп,Тарасия
Харлампий,Татьяна
Хрисанф,Текуса
Христофор,Тереза
Эдуард,Тигрия
Эмилий,Тихомира
Эмиль,Тихослава
Эммануил,Тома
Эразм,Томила
Эраст,Транквиллина
Эрнест,Трифена
Эрнст,Трофима
Ювеналий,Улита
Юлиан,Ульяна
Юлий,Урбана
Юрий,Урсула
Юстиниан,Устина
Яким,Устиния
Яков,Устинья
Якуб,Фабиана
Ян,Фавста
Януарий,Фавстина
Ярополк,Фаина
Ярослав,Фантика
,Феврония,,,
,Февронья,,,
,Федоза,,,
,Федора,,,
,Федосия,,,
,Федосья,,,
,Федотия,,,
,Федотья,,,
,Федула,,,
,Фёкла,,,
,Фекуса,,,
,Феликса,,,
,Фелица,,,
,Фелицата,,,
,Фелициана,,,
,Фелицитата,,,
,Фелиция,,,
,Феогния,,,
,Феодора,,,
,Феодосия,,,
,Феодота,,,
,Феодотия,,,
,Феодула,,,
,Феодулия,,,
,Феозва,,,
,Феоктиста,,,
,Феона,,,
,Феонилла,,,
,Фебния,,,
,Феопистия,,,
,Феосовия,,,
,Феофания,,,
,Феофила,,,
,Фервуфа,,,
,Фессалоника,,,
,Фессалоникия,,,
,Фетиния,,,
,Фетинья,,,
,Фея,,,
,Фива,,,
,Фивея,,,
,Филарета,,,
,Филиппа,,,
,Филиппин,,,
,Филомена,,,
,Филонилла,,,
,Филофея,,,
,Фиста,,,
,Флавия,,,
,Флёна,,,
,Флора,,,
,Флорентина,,,
,Флоренция,,,
,Флориана,,,
,Флорида,,,
,Фомаида,,,
,Фортуната,,,
,Фотина,,,
,Фотиния,,,
,Фотинья,,,
,Франциска,,,
,Фрида,,,
,Фридерика,,,
,Хаврония,,,
,Хариесса,,,
,Хариса,,,
,Харита,,,
,Харитина,,,
,Хиония,,,
,Хриса,,,
,Хрисия,,,
,Христиана,,,
,Христина,,,
,Цвета,,,
,Цветана,,,
,Целестина,,,
,Цецилия,,,
,Шарлотта,,,
,Шушаника,,,
,Эвелина,,,
,Эгина,,,
,Эдит,,,
,Элеонора,,,
,Элисса,,,
,Элла,,,
,Эллада,,,
,Эллина,,,
,Элоиза,,,
,Эльвира,,,
,Эмилиана,,,
,Эмилия,,,
,Эмма,,,
,Эннафа,,,
,Эра,,,
,Эрнеста,,,
,Эрнестина,,,
,Эсмеральда,,,
,Эсфирь,,,
,Юдифь,,,
,Юлиана,,,
,Юлиания,,,
,Юлия,,,
,Юния,,,
,Юнона,,,
,Юрия,,,
,Юстина,,,
,Ядвига,,,
,Яна,,,
,Янина,,,
,Ярослава,,,
